Judul,Lokasi,Lokasi_Clean,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Deskripsi_Clean,Image_Link,Property_Link
Perumahan Baru Mewah Patra Siap Huni Bisa Angsuran 79x Flatt,"Ngaglik, Sleman",ngaglik sleman,2400000000,2,3,1,126,100,0.664804469,0.111111111,0.2,0,0.456521739,0.464114833,rumah baru mewah patra siap huni angsur 79x flatt,mau punya rumah mewah area sejuk strategis yogyakarta jangan lewat sempat dapat tawar tarik promo special patra residence palagan lokasi rumah ada mang jalan utama jl palagan tentara ajar km 10 ngaglik sleman yogyakarta kawasan luas kurang lebih 16287m2 total 62 unit yg bagi 2 type type 100 180 kemas konsep rumah modern home adapun fasilitas kawasan rumah tiap unit type 180 lengkap fasilitas swimming poll pribadi jalan utama lebar 9 m manja huni kendara jaring listrik bawah tanah buat kawasan lebih premium di banding lokasi lain awas aman 24 jam lengkap cctv area rumah info lebih lanjut hubung 082340837xxx ema,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893426/aeef146645fe83ccdb74915218d529e6.jpg,https://www.rumah123.com/properti/sleman/hos16837965/
Dijual Rumah Dekat Kampus Stie Ykpn Harga Rendah,"Caturtunggal, Sleman",caturtunggal sleman,1700000000,3,3,2,200,130,0.469273743,0.222222222,0.2,1,0.77826087,0.607655502,jual rumah dekat kampus stie ykpn harga rendah,rumah dekat kampus stie ykpn catur tunggal depok sleman jogja punya luas tanah 134 m2 lebar depan 8 meter panjang 16 meter luas bangun 200 m2 bangun 2 lantai hadap selatan row jalan 5 meter legalitas shm imb pbb rumah ada 3 kamar tidur 2 kamar mandi carpot 1 mobil rp 17 m f240004,https://picture.rumah123.com/r123-images/720x420-crop/customer/1997127/658e8f991f1274653b2d83c091227bbe.jpg,https://www.rumah123.com/properti/sleman/hos18654136/
Dekat Pusat Kota Jogja Rumah Mewah 2 Lantai Lux Siap Huni Dalam Perumahan One Gate System Di Jalan Godean Km 7 Sidoarum Godean,"Godean, Sleman",godean sleman,1630000000,3,3,1,108,100,0.44972067,0.222222222,0.2,0,0.37826087,0.464114833,dekat pusat kota jogja rumah mewah 2 lantai lux siap huni rumah one gate system jalan godean km 7 sidoarum godean,rumah mewah 2 lantai lux siap huni rumah one gate system jalan godean km 7 sidoarum harga 1635 milyar nego legalitas shgb pt pbg dekat tugu jogja akses mudah lingkung rapi kavling 11a bonus kitchen set mini bar maghnet kawasan dekat pusat kota jogja dekat kampus unu dekat kampus unjaya dekat kampus umybsi dekat kampus aisyiah dekat pku gamping spbu spesifikasi luas tanah 100 luas bangun 108 2 lantai 3 kamar tidur 3 kamar mandi ruang tamu ruang keluarga ruang makan dapur cantik tempat cuci jemur sumur bor listrik pln 2200 watt taman hijau carport 2 mobil lingkung aman nyaman asri one gate security akses jalan lebar 6m yukk monggo2 yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/30e185cf139b8958d81b1472f940fde7.jpg,https://www.rumah123.com/properti/sleman/hos18658829/
Rumah Baru Cantik Mewah  Harga Super Murah Di Dalam Cluster 10 Unit Kadisoka Purwomartani Sleman Dekat Pemancingan,"Purwomartani, Sleman",purwomartani sleman,765000000,3,2,1,106,80,0.208100559,0.222222222,0.1,0,0.369565217,0.368421053,rumah baru cantik mewah harga super murah dalam cluster 10 unit kadisoka purwomartani sleman dekat pancing,open launching 10 unit cluster kadisoka asri rumah baru cantik mewah harga murah dalam cluster kadisoka purwomartani sleman dekat pancing akses mudah strategis jalan paving 5 meter tata ruang nyaman lega free pagar kanopi teral taman depan blkg harga 775 juta nego legalitas shm pbg maghnet kawasan dekat spbu kadisoka dekat pancing dekat mc swalayan dekat pusat kuliner dekat pusat bisnis tajem dekat kampus unriyo spesifikasi type 80 luas tanah 106 3 kamar tidur luas 2 kamar mandi ruang tamu ruang keluarga dapur luas listrik 1300 watt air sumur bor carport yukk monggo yg mau survey bs damping senang hati info ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/d05c458c62521eda638eeb91ecf77d34.jpg,https://www.rumah123.com/properti/sleman/hos18228650/
Promo Bulan Desemberr 350 Juta Saja Rumah Cantik Mewah  Harga Murah Dalam Perumahan Fasco Village Bangunjiwo Kasihan Bantul,"Kasihan, Bantul",kasihan bantul,350000000,2,1,1,80,36,0.092178771,0.111111111,0,0,0.256521739,0.157894737,promo bulan desemberr 350 juta rumah cantik mewah harga murah rumah fasco village bangunjiwo kasihan bantul,promo 400 juta ptomo 400 juta ptomo 400 juta rumah cantik mewah harga murah rumah fasco village bangunjiwo bantul proses bangun rumah security 24 jam one gate system harga rp 375000xxx nego promo bulan november 375 juta legalitas shm pbg cash kpr cash tahap yukk monggo yg mau survey bs damping senang hati info detail ayanti sahabat properti wa 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2024-03-30-15-50-31-dcbe0667-766b-4cc6-b884-f32b4396419d.jpg,https://www.rumah123.com/properti/bantul/hos16805466/
Rumah Mewah Modern 2 Lantai Kontemporer Istimewa Dengan Harga Murah Di Dekat Jogjabay Maguwoharjo,"Ngemplak, Sleman",ngemplak sleman,1450000000,4,4,2,170,116,0.399441341,0.333333333,0.3,1,0.647826087,0.540669856,rumah mewah modern 2 lantai kontemporer istimewa harga murah dekat jogjabay maguwoharjo,rumah mewah modern 2 lantai kontemporer istimewa harga murah dekat jogjabay maguwoharjo harga 145 milyar nego legalitas shm pbg akses mudah akses lebar simpang tata ruang nyaman balkon luas maghnet kawasan dekat stadion maguwo dekat jogjabay dekat rs uad dekat budi mulia unriyo dekat sd model dekat spbu tajem spesifikasi type 170 luas tanah 116 4 kamarvtidur 4 kamar mandi ruang tamu ruang keluarga ruang makan dapur luas taman listrik 2200 watt air sumur bor carport 2 mobil balkon luas hadap timur yukk monggo yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2aeec3776fb9f5bbd64320faf305a0af.jpg,https://www.rumah123.com/properti/sleman/hos18706349/
Rumah 2 Lantai Bagus Furnished SHM di Jalan Imogiri Barat Bantul,"Sewon, Bantul",sewon bantul,2500000000,4,2,2,168,112,0.69273743,0.333333333,0.1,1,0.639130435,0.5215311,rumah 2 lantai bagus furnished shm jalan imogiri barat bantul,rumah siap huni baru renovasi fully furnished rumah rumah pinang merah 2 won bantul posisi komplek pinggir jalan raya gak masukmasuk kampung sangat dekat ringroad akses mudah saja jual lengkap furniture meja makan kursi meja tamu 3 kasur lantai atas kitchen set kulkas dispenser 4 unit ac water heater mesin cuci tempat cuci jemur lantai atas pasang wifi lantai atas bawah harga furniture 2350000000 nego segera agenda cek lokasi sama,https://picture.rumah123.com/r123-images/720x420-crop/customer/2071437/37b2d7a52732106e74f7d24830a842b2.jpg,https://www.rumah123.com/properti/bantul/hos18621220/
Minimalis Modern Cocok Untuk Gaya Hidup Praktis Dan Stylish,"Sedayu, Bantul",sedayu bantul,710000000,2,1,1,72,50,0.19273743,0.111111111,0,0,0.22173913,0.224880383,minimal modern cocok gaya hidup praktis stylish,kode stw agam fasilitas dalam nya one gate system security 24 jam cctcv tembok keliling akses jalan 6 meter taman buka children playground magnet kawasan upa 2 menit waterpark ciputra 8 menit rs pku gamping 10 menit kampus umy gamping 13 menit pasar godean 20 menit jogja city mall 45 menit bandara yia jangan takut hubung core property consultant alam lebih 6 tahun jadi partner dalam cari huni baik jogja hubung untuk info detail pilih properti lain,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/694095d0f08cf4f05facc03326dfafd7.jpg,https://www.rumah123.com/properti/bantul/hos18686918/
Rumah Siap Huni Fullfurnish Dalam Perumahan Dekat Umy Yogyakarta,"Wirobrajan, Yogyakarta",wirobrajan yogyakarta,378000000,2,1,1,71,36,0.1,0.111111111,0,0,0.217391304,0.157894737,rumah siap huni fullfurnish rumah dekat umy yogyakarta,rumah siap huni gaya jepang 300 juta jogja barat full furnished estetik rumah gaya jepang jogja huni nyaman tenang nuansa jepang milik rumah nuansa jepang harus jauhjauh negeri sakura temu nyaman tenang huni konsep jepang modern jogja cocok anda damba huni elegan simpel satu alam unggul desain minimal ala jepang ruang luas buka interior estetik lingkung asri tenang info lokasi 1 menit brimob sentolo 3 menit calon exit tol sentolo 3 menit rs nyi ageng serang 15 menit kawasan industri sentolo 30 menit malioboro 30 menit bandara yia spesial promo rumah siap huni full isi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/8b97d478c1825069f90f2a29aa7e3613.jpg,https://www.rumah123.com/properti/yogyakarta/hos18568574/
Perumahan Modern 2 Lantai Grand Str Palagan Jogja Sleman Yogyakar,"Ngaglik, Sleman",ngaglik sleman,1800000000,3,3,1,130,120,0.497206704,0.222222222,0.2,0,0.473913043,0.559808612,rumah modern 2 lantai grand str palagan jogja sleman yogyakar,rumah modern elit grand str palagan jogja ngaglik sleman yogyakarta 22 unit rumah modern kawasan elit palagan sleman yogyakarta kolam renang pribadi private pool panjang bulan november 2024 3 unit kavling siap bangun hadap utara 5 unit kavling siap bangun hadap selatan 4 unit kavling jual kavling 2 10 11 12 rumah modern rumah elit konsep modern clasic standart material bata merah material premium lain cipta daya tahan usia bangun tinggi tampailan estetik elegan lebih nyaman tahan nilai investasi 3 kamar tidur 3 kamar mandi semi furnished halaman belakang luas aktivitas luar ruang,https://www.rumah123.com/asset-core/images/official-project.png,https://www.rumah123.com/properti/sleman/hos18646752/
